Haplogroup,PCoA1,PCoA2,VectorLength
O1b1,0.9863144095106018,0.15495030812678634,0.9984115946826906
O2a2,-0.4190896128830306,0.887250409347052,0.9812488942734966
R1a1,-0.26495278901787883,-0.7202114736023928,0.7674011643963559
J2a1,-0.314182735771876,-0.6721761302336056,0.7419781273817481
R2a2,-0.1923939625886907,-0.5950394037115257,0.6253697536737339
