,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5
C1b,3.7847422471341,0.909188477339176,-0.33934997176129,-0.762239242441634,0.117076365240225
C2a,-0.47645316700587,1.46309464407037,1.66739881668392,0.237408083541434,-0.0199628640459458
C2b,0.0143259326334721,0.339590465641907,-0.125739831143028,-0.220720725701796,-0.102077355065654
D1a,-0.179930996114236,-0.1701260432225,0.446934425216466,-0.301030652694842,0.090873720383111
E1b,-0.48375263037366,1.22837805756595,1.7702430615532,-0.604943533567156,2.81661706960108
G2a,-0.437419626000479,0.494627273078344,-0.917881568455498,-0.320499688143186,-0.148084663730886
J1a,-0.483014376459119,1.093106151578,-1.32643642214897,1.10901861328978,0.200115868490655
J2,4.73095437274435,1.10697391933001,-0.219467125465126,-0.188744169938141,0.137109795728586
J2a,-0.488713720266449,1.16791601139045,-1.37750577886066,1.28770840096891,0.243640935018347
J2b,4.73095437274435,1.10697391933001,-0.219467125465126,-0.188744169938141,0.137109795728586
N1a,-0.332906872750869,0.600233761075254,0.0784865608792524,0.171862292968696,-0.174949413546174
N1b,-0.208407401722397,-0.0715138320178332,-0.0720116045624869,0.0774027437853641,0.159076191617131
O1a,0.61721946612466,-0.274064217707384,0.165307799497892,0.179515701671497,-0.104190787108397
O1b,0.197476156662382,-0.313888815632371,0.00906671186845036,0.156818197438738,0.103202612448614
O2a,-0.195340947137,-0.0265805433032485,-0.0393915746452402,-0.0734822221896231,-0.0177052239195191
O2b,-0.130372377220827,-0.487059096840602,0.0443435292908934,0.101782368354983,0.250702954256166
Q1a,-0.384344757103501,0.737798165439737,-0.190526424753435,0.368700029688822,-0.194972338360479
Q1b,-0.49110567081192,1.28303390198657,0.66992409137023,0.204630232290651,2.0024834246012
R1a,-0.419779118296607,0.951218742611034,0.324817491218663,0.120907876408924,0.636172655241746
R1b,-0.319936397900395,0.399769006926324,-0.251389068888605,-0.834502097318917,0.0725944217216278
R2,-0.376181210497363,0.228539738383424,-0.265749257933958,-1.53786408566928,-0.757207708005817
R2a,-0.49279149424672,2.13291255021795,3.27497481858049,1.14272719689865,-2.74218751592214
T1a,-0.505811751688439,1.39234559082782,-1.53071384899571,1.82377776400627,0.374216134601426
