,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5
C1b,17.3484799888056,2.78679304205998,0.803191159828395,5.2366891334442,0.156313816925497
C2a,0.439895209231268,11.5468013716467,31.0257469230379,0.812802766233695,0.007271509688583
C2b,0.00507066349122601,7.93118382489815,2.24956837567428,8.95757770095721,2.42408525947326
D1a,0.250946276417705,0.62447987663211,8.91642732648979,5.22727803303682,0.602719853455593
E1b,0.0566846524327271,1.01739820549622,4.37138524903452,0.659680822741246,18.0944137104322
G2a,0.0463463288609686,0.164961647500882,1.17524003895141,0.185165215137583,0.0500160129676686
J1a,0.169535315346395,2.41697856325552,7.3628747453204,6.65124746960265,0.274014290405161
J2,16.2643826346948,2.47869390933258,0.201564240394046,0.192651558948215,0.128631437868802
J2a,0.23141305930891,3.6788330820162,10.5876635245457,11.9563668269296,0.541563527436987
J2b,37.9502261476212,5.78361912177601,0.470316560919441,0.449520304212501,0.300140021693872
N1a,1.02011216809286,9.23105423217704,0.32653329936789,2.02324735717757,2.65275706951574
N1b,0.61020123313683,0.200002286523856,0.419552439114613,0.626390102541589,3.34755149036666
O1a,14.6721974400265,8.05246165606096,6.06089966624242,9.23647348293928,3.9368118938197
O1b,1.90809288042911,13.4193017699651,0.0231635051908331,8.95464691259163,4.90706322338926
O2a,6.71954394019836,0.346329100766271,1.57360010186033,7.07624979371893,0.51978789369643
O2b,0.0494050364755411,1.91942625666655,0.0329150893144106,0.224094156479411,1.72024003734307
Q1a,1.21657713124162,12.4790327993144,1.7216411470028,8.33161980655983,2.94790728041766
Q1b,0.175262887192223,3.32984781982683,1.87813033451094,0.226446196660571,27.4377197914563
R1a,0.512202527493615,7.32097478535972,1.76609207674732,0.316223844577836,11.0769486793697
R1b,0.198351778013644,0.862055241518448,0.705238554376677,10.0426663338576,0.096157992748136
R2,0.0342778053544899,0.0352168347057819,0.0985138748939419,4.26324303453565,1.30773261250479
R2a,0.0588227352652607,3.0674180334455,14.9612958459429,2.35390704642465,17.1507533252219
T1a,0.0619721608691159,1.30713653905513,3.26844592123893,5.9958121006917,0.319399269802853
